Actual,Predicted,Error %
8910,9296.80919073784,890895.6587071747
10819,10618.949256961085,1081801.8490687036
5341,5709.187854815053,533993.1063872905
8195,8080.715519435753,819401.3945635211
8179,8420.41077590084,817797.0484071904
9742,9827.648801779991,974099.1208293802
12266,11721.844407714412,1226504.436292127
7375,7749.003549917816,737394.9287654248
15680,16528.038659238457,1567894.5915901836
11323,11554.405029244885,1132197.95632757
11523,11722.086757904006,1152198.2722662683
12368,11668.367729650294,1236705.6567939064
11111,10697.697890790803,1111003.7197561804
12065,11474.971579774883,1206404.8904137607
15370,15066.752321557044,1536901.9729842448
11986,11627.186877088574,1198502.993601893
5365,5855.055097213088,536390.8657018227
10577,11138.711935947293,1057594.6893075926
5019,4950.753655828906,501801.3597597962
8624,9068.467872436751,862294.8461517575
12717,11791.472023254097,1271607.2778798202
2737,3218.830561642594,273582.39566818986
10831,10762.833849118542,1083000.629361563
10530,10164.494394873116,1052903.4710883677
7159,7335.147619759975,715797.5394940667
12540,12563.430355850574,1253899.813155057
10485,10347.384021396361,1048401.3125033726
6610,6676.134351932772,660898.9994803036
9203,9664.287435061275,920194.9876406058
6937,6652.224992843577,693604.1051608354
11217,10723.357119599515,1121604.4008458627
9107,9621.898888733976,910594.3461195922
8304,8073.2353545851765,830302.7789576759
11128,11247.0837325707,1112698.929873
5649,5548.4626578708385,564801.7797369823
9486,9240.097926022554,948502.5922630612
9504,9549.337854870728,950299.5229602813
12121,12219.281154915552,1211999.1891662823
5102,5156.801454567286,510098.9258828976
11905,12090.298065053059,1190398.443527383
9386,9806.403146234206,938495.5209551861
8896,8606.603635445928,889503.253106616
10707,11277.686117853256,1070594.6699718141
10739,10476.17303578568,1073802.4474063155
8534,8231.646025282875,853303.5429338495
11355,10676.364977789784,1135405.9765303587
8570,9044.618757554596,856894.4618581381
5348,5234.496416068226,534702.1223557205
15387,15046.091905954767,1538602.2155591997
8253,7849.7513316865625,825204.8860858877
7061,7330.832413519933,705996.1785524215
15476,15035.719941271676,1547502.8449215477
13567,14185.72915078066,1356595.4394549218
16404,16082.476562456352,1640301.9600307092
14668,15120.091976377646,1466696.9178349033
7363,7247.713355052049,736201.5657564165
16353,15670.523731317182,1635204.1734010193
9756,9388.200251765373,975503.7699851193
14286,13898.437445525129,1428502.7128836235
3197,3488.751514812132,319590.87420973374
13920,13883.78257833131,1391900.2601826268
12668,13043.739353433251,1266697.0339488992
9189,9636.46723525248,918795.13040336
10132,10139.082547187656,1013099.9300972446
3819,4006.6613309239524,381795.0861133563
15113,15992.347277557144,1511194.1815173854
15314,14835.055515835764,1531303.1274943461
8771,9144.631469275908,876995.740149706
4948,4893.035141508849,494701.1108500099
9475,9217.976685732716,947402.7126471163
6847,7003.901266502902,684597.708466971
5081,5538.93515516522,507990.98730259464
16451,16933.947898065333,1644997.0643249769
17392,18105.180650104106,1739095.899375287
10257,10434.397006778527,1025598.2704786315
7689,7987.959663524206,768796.1118524708
12916,12672.48802974656,1291501.8853512716
12160,11927.05997875931,1215901.9156251748
13035,13177.23176215377,1303398.9088472407
12899,13031.915103248844,1289798.9695704842
15966,15703.62858825877,1596501.6433133644
11792,11901.561762279744,1179099.0708805777
7238,7457.779505161868,723696.9635326725
11602,11158.323248109851,1160103.8241402507
3265,2886.026399861359,326411.607154675
5737,6036.77028072449,573594.7747902959
12422,11765.31024149736,1242105.2865058645
3021,2803.847085427321,302007.18811368995
12472,12357.137144083328,1247100.9209658108
8819,9121.69350068724,881796.5677117509
3163,3218.35257543296,316198.2499976151
3907,4131.030437873076,390594.2659217335
9135,8780.101530317053,913403.8850407191
13755,13343.830094100947,1375402.989239592
11335,11091.615451204183,1133402.1471949606
8283,7951.585172042156,828204.0011448504
10989,11544.185030406508,1098794.9478111712
9744,9763.082871471248,974299.804157723
16656,16272.53906812294,1665502.3022390243
3180,2867.285263577566,317909.83379674284
13546,14191.350002766552,1354495.235862965
11566,11848.10537938169,1156497.5609080116
8489,8423.929249597599,848800.7665302203
14419,15382.680176081356,1441793.3165949367
11386,11325.526548889895,1138500.5311211233
8148,8143.269436324427,814700.0580579735
7874,7554.438464832234,787304.0584396136
8095,7745.357138202307,809404.3192447411
9469,9748.561437423632,946797.0476139252
7394,7079.13051013861,739304.2584459002
2533,2048.843935205417,253219.11393860224
7310,7202.557720463593,730901.4697986257
3297,3379.7353030700324,329597.4905883206
10275,10012.516053266256,1027402.5545882895
15319,15596.861093117388,1531798.1861668967
3880,4034.9236143206563,387896.00712334225
6656,6535.759577322348,665501.806496735
14574,14757.376314413417,1457298.74175714
14808,14194.852537460414,1480704.1406500712
10425,10843.497649403318,1042395.9856340585
6267,6420.352262175854,626597.553019592
13127,13551.410018616632,1312596.766892522
9738,9257.251435545491,973704.9368306065
11345,11047.503837522952,1134402.6222667473
7530,7433.698467779687,752901.2789048103
13755,13663.515205928044,1375400.6651021016
12693,12794.562508729392,1269199.1998541816
5616,5997.824605354489,561493.201128822
15342,14603.763834550025,1534104.8118639383
8375,8615.421088015666,837397.1293004415
11299,11398.027768353579,1129799.1235705076
13980,14278.175331658522,1397897.8671292441
